Day,Time,Subject
MONDAY,09:00-10:00,Minor
MONDAY,10:00-11:00,24HS03TH0301-DM (DT203)
MONDAY,11:00-12:00,24CS01TH0302-DAA (DT203)
MONDAY,12:00-01:00,Lunch Break
MONDAY,01:00-02:00,24CS01TH0301-TOC (DT203)
MONDAY,02:00-03:00,24CS01TH0304-CN (DT203)
MONDAY,03:00-04:00,
MONDAY,04:00-05:00,
TUESDAY,09:00-10:00,Minor
TUESDAY,10:00-11:00,24CS01TH0304-CN (DT203)
TUESDAY,11:00-12:00,24CS01TH0301-TOC (DT203)
TUESDAY,12:00-01:00,Lunch Break
TUESDAY,01:00-02:00,24CS01TH0302-DAA (DT203)
TUESDAY,02:00-03:00,
TUESDAY,03:00-04:00,
TUESDAY,04:00-05:00,
WEDNESDAY,09:00-10:00,Minor
WEDNESDAY,10:00-11:00,
WEDNESDAY,11:00-12:00,
WEDNESDAY,12:00-01:00,24HS03TH0301-DM (DT203)
WEDNESDAY,01:00-02:00,Lunch Break
WEDNESDAY,02:00-03:00,24CS01TH0302-DAA (DT203)
WEDNESDAY,03:00-04:00,24CS01PR0304-CN Lab (DT105) (B1&B3) / DAA Lab (DT111) (B2&B4)
WEDNESDAY,04:00-05:00,24CS01PR0304-CN Lab (DT105) (B1&B3) / DAA Lab (DT111) (B2&B4)
THURSDAY,09:00-10:00,MDM
THURSDAY,10:00-11:00,
THURSDAY,11:00-12:00,24HS03TH0301-DM (DT203)
THURSDAY,12:00-01:00,Lunch Break
THURSDAY,01:00-02:00,24CS01TH0301-TOC (DT304)
THURSDAY,02:00-03:00,24CS01PR0304-CN Lab (DT105) (B2&B4) / DAA Lab (DT111) (B1&B3)
THURSDAY,03:00-04:00,24CS01PR0304-CN Lab (DT105) (B2&B4) / DAA Lab (DT111) (B1&B3)
THURSDAY,04:00-05:00,
FRIDAY,09:00-10:00,MDM
FRIDAY,10:00-11:00,24CS01PR0303-Software Lab (DT105) (B1&B3) / Software Lab (DT111) (B2&B4)
FRIDAY,11:00-12:00,24CS01PR0303-Software Lab (DT105) (B1&B3) / Software Lab (DT111) (B2&B4)
FRIDAY,12:00-01:00,Lunch Break
FRIDAY,01:00-02:00,24CS01TH0304-CN (DT212)
FRIDAY,02:00-03:00,Technical Skill session (DT109)
FRIDAY,03:00-04:00,Technical Skill session (DT109)
FRIDAY,04:00-05:00,
SATURDAY,09:00-10:00,MDM
SATURDAY,10:00-11:00,OE
SATURDAY,11:00-12:00,Mentor-Mentee Meeting Slot
SATURDAY,12:00-01:00,HONORS (DT301)
SATURDAY,01:00-02:00,HONORS (DT301)
SATURDAY,02:00-03:00,HONORS (DT301)
SATURDAY,03:00-04:00,HONORS (DT301)
SATURDAY,04:00-05:00,
